customer_id,total_volume,avg_amount,max_amount,min_amount,transaction_count,last_transaction_date,available_balance,credit_limit,country,currency
CUST00000,15941.71,1449.25,2377.78,482.53,11,2025-06-25,37111.33,2498.66,SE,SEK
CUST00001,52624.7,4385.39,7885.86,92.86,12,2025-06-21,4954.68,10354.43,NL,EUR
CUST00002,97847.73,10871.97,16184.71,2514.79,9,2025-06-29,33455.87,16283.89,NO,NOK
CUST00003,38168.35,5452.62,6863.09,2673.61,7,2025-07-02,23744.19,7063.59,DK,DKK
CUST00004,117758.2,6926.95,13523.74,1424.74,17,2025-06-28,90757.04,14729.77,SE,SEK
CUST00005,80475.49,10059.44,15848.81,966.45,8,2025-05-28,124496.0,17303.28,DK,DKK
CUST00006,60912.99,7614.12,15347.95,68.73,8,2025-06-28,116073.72,17178.7,SE,SEK
CUST00007,42673.43,2844.9,7294.95,10.39,15,2025-06-29,95534.82,7718.53,DK,DKK
CUST00008,75123.11,5778.7,14144.32,215.38,13,2025-06-22,91565.09,14717.97,FI,EUR
CUST00009,14807.9,3701.98,10762.5,223.87,4,2025-07-02,102849.83,15632.0,DK,DKK
CUST00010,57066.34,7133.29,13976.4,1671.68,8,2025-06-28,137013.85,14499.33,FI,EUR
CUST00011,43248.83,5406.1,10513.95,1630.97,8,2025-06-26,21859.3,15027.29,DK,DKK
CUST00012,15798.8,1755.42,2744.33,134.63,9,2025-07-02,54618.47,3197.47,NL,EUR
CUST00013,29525.03,4920.84,7838.62,1113.29,6,2025-05-29,94303.18,8732.12,SE,SEK
CUST00014,92065.91,13152.27,15374.16,4244.33,7,2025-06-15,79602.59,17285.2,DK,DKK
CUST00015,32245.52,3582.84,5955.96,760.49,9,2025-06-25,115405.51,6223.25,SE,SEK
CUST00016,49559.46,4129.96,9386.26,1082.15,12,2025-06-26,145797.27,10399.79,SE,SEK
CUST00017,37138.29,6189.72,10284.16,1043.55,6,2025-07-02,23349.47,11017.89,NL,EUR
CUST00018,138046.52,12549.68,18710.65,6358.5,11,2025-07-02,17224.22,19713.77,FI,EUR
CUST00019,8363.62,1045.45,2156.25,140.67,8,2025-06-11,131762.44,2170.24,NO,NOK
CUST00020,37823.88,7564.78,10112.8,703.55,5,2025-06-23,142053.88,10789.64,NO,NOK
CUST00021,79894.2,4699.66,11481.57,252.36,17,2025-06-29,107085.87,13597.9,NO,NOK
CUST00022,1401.69,350.42,638.09,125.24,4,2025-04-30,37561.89,910.17,NL,EUR
CUST00023,10882.38,2176.48,4305.13,173.03,5,2025-05-28,11113.47,4964.36,NL,EUR
CUST00024,58075.21,4467.32,10609.96,142.33,13,2025-06-30,42132.35,11015.06,FI,EUR
CUST00025,46708.14,4670.81,8676.25,419.75,10,2025-07-01,28966.28,8905.5,NO,NOK
CUST00026,19954.71,1247.17,2217.66,465.59,16,2025-06-26,101168.0,2419.15,DK,DKK
CUST00027,24741.07,2249.19,3953.02,80.04,11,2025-06-19,80674.72,4078.02,NO,NOK
CUST00028,85107.5,8510.75,15165.96,1255.95,10,2025-06-19,8062.96,16802.54,SE,SEK
CUST00029,22199.88,3171.41,6531.28,876.48,7,2025-06-24,73103.35,8320.29,NO,NOK
CUST00030,64267.02,4590.5,9043.19,809.0,14,2025-06-25,40147.86,9372.66,DK,DKK
CUST00031,59781.17,6642.35,10293.84,972.7,9,2025-06-30,33046.28,14846.87,NO,NOK
CUST00032,72527.82,8058.65,14597.25,1304.85,9,2025-06-26,87834.55,17128.04,FI,EUR
CUST00033,35891.6,4486.45,16096.28,614.42,8,2025-05-31,10743.94,17305.47,NL,EUR
CUST00034,13617.46,3404.36,4843.47,2569.6,4,2025-06-22,93097.54,11881.61,NL,EUR
CUST00035,54030.93,7718.7,9131.0,6127.44,7,2025-06-30,36183.55,13597.96,FI,EUR
CUST00036,161960.93,11568.64,16482.45,3541.22,14,2025-06-06,69013.69,19923.88,FI,EUR
CUST00037,7978.31,997.29,1638.05,96.22,8,2025-06-16,20302.26,1841.43,NO,NOK
CUST00038,68512.72,5270.21,11948.77,136.17,13,2025-06-19,125144.87,12427.72,FI,EUR
CUST00039,6497.01,928.14,1680.15,171.4,7,2025-06-22,140870.04,2750.86,NL,EUR
CUST00040,21815.88,3116.55,5702.35,322.87,7,2025-07-01,42622.56,7186.17,NL,EUR
CUST00041,7607.37,950.92,2295.57,41.55,8,2025-06-23,135847.81,2299.82,NL,EUR
CUST00042,90682.56,6975.58,14610.49,886.08,13,2025-06-29,95748.45,14954.0,SE,SEK
CUST00043,25470.03,3638.58,5509.2,1516.78,7,2025-06-23,82065.75,11858.94,SE,SEK
CUST00044,69747.18,7749.69,16794.26,1045.98,9,2025-06-27,55015.4,19457.83,NO,NOK
CUST00045,157516.65,7875.83,17291.69,60.51,20,2025-06-29,53374.96,17556.9,NO,NOK
CUST00046,92554.66,6170.31,14489.27,808.36,15,2025-06-29,132271.72,14863.01,NO,NOK
CUST00047,67467.7,6746.77,16816.21,64.66,10,2025-06-18,118212.49,17507.25,NO,NOK
CUST00048,113094.36,12566.04,17054.08,8981.79,9,2025-06-28,52773.93,17490.8,NO,NOK
CUST00049,66661.4,9523.06,15261.16,2087.19,7,2025-06-23,42151.16,15579.87,NO,NOK
CUST00050,24982.76,2271.16,3865.17,387.97,11,2025-06-29,17743.59,3982.07,NL,EUR
CUST00051,82633.19,4590.73,8640.44,388.55,18,2025-06-28,52180.22,9009.68,SE,SEK
CUST00052,49573.83,5508.2,10314.55,784.22,9,2025-06-08,7135.79,10638.45,NL,EUR
CUST00053,12627.43,1147.95,2678.81,62.6,11,2025-06-23,93661.73,2930.19,DK,DKK
CUST00054,52789.79,5865.53,10356.67,311.87,9,2025-06-28,49264.34,11311.04,NL,EUR
CUST00055,74726.4,7472.64,10725.92,2631.5,10,2025-06-13,92519.48,11184.78,DK,DKK
CUST00056,13932.07,3483.02,6216.46,612.62,4,2025-06-30,117970.94,6783.86,FI,EUR
CUST00057,94373.14,9437.31,13692.15,1247.47,10,2025-06-18,119163.44,14851.25,NO,NOK
CUST00058,29550.07,1970.0,5050.87,39.87,15,2025-06-30,14461.39,5079.94,FI,EUR
CUST00059,4305.87,2152.94,2271.13,2034.74,2,2025-06-30,7408.95,12419.84,NO,NOK
CUST00060,85433.16,5339.57,7976.8,1730.38,16,2025-06-28,107892.71,8293.23,DK,DKK
CUST00061,45513.21,9102.64,13594.89,1866.6,5,2025-06-10,33216.75,14070.28,SE,SEK
CUST00062,95927.12,6851.94,13473.86,826.71,14,2025-06-07,68741.04,13517.77,NL,EUR
CUST00063,69035.78,11505.96,16317.17,6396.43,6,2025-06-24,124670.09,17995.56,DK,DKK
CUST00064,83789.29,6982.44,11290.28,1050.68,12,2025-07-01,114989.15,12721.59,FI,EUR
CUST00065,215040.1,9774.55,14901.55,2514.98,22,2025-06-29,35556.79,17914.02,SE,SEK
CUST00066,4934.08,822.35,1050.44,391.6,6,2025-06-17,104245.5,1752.46,NO,NOK
CUST00067,27979.64,3997.09,6977.48,200.68,7,2025-06-29,9808.72,8094.8,NL,EUR
CUST00068,41116.72,6852.79,14567.86,4016.54,6,2025-06-19,45142.59,17887.01,DK,DKK
CUST00069,44895.45,4489.54,9671.19,304.04,10,2025-06-27,73490.31,9970.02,NL,EUR
CUST00070,49372.41,9874.48,17356.61,4214.06,5,2025-06-28,126155.6,19624.08,DK,DKK
CUST00071,88283.66,11035.46,16232.42,974.26,8,2025-07-01,13050.15,17403.6,DK,DKK
CUST00072,98817.54,8234.8,12790.19,2300.24,12,2025-07-02,32143.21,15343.98,FI,EUR
CUST00073,9016.99,751.42,1328.75,67.64,12,2025-05-31,70810.87,1515.67,DK,DKK
CUST00074,81159.0,7378.09,13753.51,835.58,11,2025-07-01,117294.34,15207.55,NO,NOK
CUST00075,6461.02,1615.26,2472.1,108.86,4,2025-07-02,36162.47,2730.59,NO,NOK
CUST00076,75368.25,6851.66,11263.45,2388.19,11,2025-06-25,115151.27,12341.33,DK,DKK
CUST00077,52044.95,5782.77,13764.79,764.53,9,2025-06-18,139368.63,18206.51,FI,EUR
CUST00078,108744.23,10874.42,16166.77,2173.13,10,2025-06-01,15734.25,17080.72,NO,NOK
CUST00079,20007.03,4001.41,11787.86,415.94,5,2025-06-26,99397.44,13127.09,FI,EUR
CUST00080,122955.36,9458.1,13799.28,1150.49,13,2025-06-17,106242.64,14809.01,DK,DKK
CUST00081,28937.64,2225.97,5125.2,133.81,13,2025-06-04,65618.39,5733.71,NL,EUR
CUST00082,80554.33,6196.49,10708.66,792.25,13,2025-06-21,36957.58,12401.47,SE,SEK
CUST00083,41925.23,5240.65,10149.81,185.76,8,2025-06-25,27685.06,16057.73,SE,SEK
CUST00084,21482.37,2386.93,3870.55,584.53,9,2025-06-28,83590.76,4225.6,NL,EUR
