customer_id,total_volume,avg_amount,max_amount,min_amount,transaction_count,last_transaction_date,available_balance,credit_limit,country,currency
CUST00000,13710.63,1246.42,2089.17,46.04,11,2025-06-30 08:33:25,4239.11,2195.31,SE,SEK
CUST00001,34952.08,2912.67,4317.62,1022.97,12,2025-06-19 17:17:45,33186.38,5924.72,SE,SEK
CUST00002,23765.87,2640.65,5382.17,340.49,9,2025-06-21 13:58:18,51367.45,7500.1,DK,DKK
CUST00003,67906.01,7545.11,17031.58,280.34,9,2025-06-10 14:50:39,109594.9,17766.31,SE,SEK
CUST00004,21745.21,1672.71,3357.25,256.67,13,2025-06-18 11:52:12,7350.75,3671.75,SE,SEK
CUST00005,19952.85,1995.28,3481.24,120.64,10,2025-06-17 12:40:18,105422.14,3686.35,FI,EUR
CUST00006,17393.2,1739.32,4374.09,25.75,10,2025-06-16 20:26:03,33332.47,4614.17,NL,EUR
CUST00007,54145.06,4512.09,10844.48,10.56,12,2025-07-01 20:27:00,59646.97,11010.06,DK,DKK
CUST00008,20669.55,1879.05,3406.41,567.63,11,2025-07-01 11:24:53,54618.47,3480.41,DK,DKK
CUST00009,60217.19,6690.8,14897.8,282.96,9,2025-06-27 16:06:06,58022.71,15142.12,SE,SEK
CUST00010,107276.01,9752.36,16844.79,2361.51,11,2025-06-23 13:31:08,24144.58,17475.11,DK,DKK
CUST00011,5943.24,495.27,872.42,32.16,12,2025-06-26 20:30:57,23349.47,879.8,NO,NOK
CUST00012,131934.08,8795.61,15047.33,613.06,15,2025-06-26 23:49:16,36510.3,15433.77,SE,SEK
CUST00013,48538.08,6934.01,8534.69,3011.89,7,2025-06-19 18:12:45,40125.97,9042.95,NO,NOK
CUST00014,16976.92,1131.79,1682.58,468.89,15,2025-07-01 15:34:01,34092.25,1884.37,NO,NOK
CUST00015,68801.62,4914.4,10925.81,613.59,14,2025-06-30 03:36:10,129015.49,11015.06,SE,SEK
CUST00016,34592.37,3144.76,5774.87,489.41,11,2025-06-06 14:58:38,117800.6,7408.8,NO,NOK
CUST00017,26117.24,2611.72,4056.33,511.27,10,2025-07-01 09:36:58,101168.0,5348.8,SE,SEK
CUST00018,22120.59,1580.04,2357.09,254.15,14,2025-06-28 18:18:16,63571.31,2409.22,NO,NOK
CUST00019,43522.25,4352.23,7838.94,1781.14,10,2025-06-24 19:56:15,25363.51,7889.98,NO,NOK
CUST00020,49394.69,6174.34,11054.11,768.17,8,2025-06-19 16:43:26,63739.62,11794.02,FI,EUR
CUST00021,7211.91,801.32,1697.95,31.19,9,2025-06-05 06:34:44,9046.21,2062.17,FI,EUR
CUST00022,25555.19,5111.04,8779.17,1618.98,5,2025-06-14 18:29:45,101444.28,12577.94,SE,SEK
CUST00023,12274.48,1022.87,3030.7,130.64,12,2025-06-16 01:49:26,47797.29,3052.13,NL,EUR
CUST00024,99166.63,7628.2,18425.18,234.72,13,2025-06-30 09:18:57,1892.66,18698.56,SE,SEK
CUST00025,39392.03,3581.09,6174.81,612.19,11,2025-06-25 00:18:33,24083.15,6337.89,FI,EUR
CUST00026,142269.06,7903.84,13603.16,1039.78,18,2025-06-29 07:06:46,133512.05,13906.19,SE,SEK
CUST00027,3116.81,311.68,531.55,84.13,10,2025-06-19 01:09:40,135847.81,569.14,FI,EUR
CUST00028,99532.62,6220.79,11465.18,147.21,16,2025-06-25 15:19:57,82976.22,11858.94,DK,DKK
CUST00029,22989.63,3284.23,5362.12,1401.09,7,2025-06-27 07:06:06,46584.62,7396.73,SE,SEK
CUST00030,92969.48,7151.5,15624.1,1292.1,13,2025-06-29 23:43:45,138901.69,16143.59,NO,NOK
CUST00031,13511.21,2251.87,3572.4,60.72,6,2025-05-15 14:02:07,57689.99,4847.01,SE,SEK
CUST00032,20097.85,2512.23,5652.84,720.1,8,2025-06-19 21:18:21,129720.76,6957.42,FI,EUR
CUST00033,67317.67,7479.74,14058.99,342.0,9,2025-06-22 15:41:33,87298.17,14706.63,NO,NOK
CUST00034,54384.09,6042.68,11899.66,1881.93,9,2025-06-28 01:50:59,17789.04,13893.71,NL,EUR
CUST00035,55010.09,7858.58,14256.09,2894.06,7,2025-06-24 16:06:39,142356.74,14535.21,SE,SEK
CUST00036,81098.3,6238.33,13188.1,786.21,13,2025-06-30 16:01:42,49264.34,13707.7,DK,DKK
CUST00037,63766.62,5796.97,12021.5,806.58,11,2025-06-25 07:17:02,61208.24,12329.9,FI,EUR
CUST00038,52328.31,4360.69,10144.74,271.47,12,2025-06-24 05:12:54,101506.27,10551.31,DK,DKK
CUST00039,53343.95,5334.4,11032.84,232.74,10,2025-06-30 14:10:35,101082.95,12419.84,NO,NOK
CUST00040,97730.65,8884.6,17193.41,1555.46,11,2025-06-30 14:11:29,29568.07,17906.87,NL,EUR
CUST00041,42235.89,5279.49,9383.59,331.28,8,2025-07-01 21:16:36,120714.42,9401.01,NO,NOK
CUST00042,77540.13,7049.1,15927.18,914.72,11,2025-07-01 09:49:45,47936.04,16877.33,NL,EUR
CUST00043,103653.53,7973.35,16082.72,1905.07,13,2025-06-16 19:16:36,41552.32,17914.02,NO,NOK
CUST00044,15496.04,3099.21,6147.98,1012.7,5,2025-06-22 00:28:51,57763.78,11080.92,NO,NOK
CUST00045,133725.9,8915.06,14963.28,2304.9,15,2025-06-28 13:03:08,58726.78,15192.76,DK,DKK
CUST00046,4244.74,353.73,766.16,72.43,12,2025-06-29 19:21:17,120080.29,1065.98,NL,EUR
CUST00047,59567.46,5956.75,10901.93,45.91,10,2025-06-17 18:33:24,126155.6,11505.64,NO,NOK
CUST00048,69813.88,5370.3,9132.88,1546.07,13,2025-06-24 05:35:04,20787.07,9366.64,DK,DKK
CUST00049,17202.58,2150.32,4667.43,52.35,8,2025-07-01 11:42:42,38214.59,4872.33,DK,DKK
CUST00050,40569.63,5795.66,11436.11,61.01,7,2025-06-28 11:22:51,30304.42,11497.41,NO,NOK
CUST00051,78099.03,7809.9,13602.59,1504.85,10,2025-06-28 06:38:24,115151.27,19312.06,FI,EUR
CUST00052,9248.82,1321.26,2036.86,257.47,7,2025-06-11 06:59:05,86581.61,2487.08,FI,EUR
CUST00053,112888.24,8063.45,15497.64,307.66,14,2025-07-01 04:25:20,117503.98,16535.45,NL,EUR
CUST00054,53386.8,5931.87,13063.39,161.72,9,2025-06-23 05:26:09,106242.64,15605.51,DK,DKK
CUST00055,115465.33,9622.11,14389.5,6098.18,12,2025-06-29 03:33:00,40625.13,15134.29,NL,EUR
CUST00056,24081.04,2675.67,5605.44,467.29,9,2025-06-13 06:08:15,50791.29,7136.61,DK,DKK
CUST00057,99823.97,8318.66,13255.17,1173.73,12,2025-06-20 23:39:37,77735.77,13966.88,SE,SEK
CUST00058,21958.15,3136.88,7162.02,252.2,7,2025-06-29 20:09:47,44488.22,7203.27,SE,SEK
CUST00059,110459.26,10041.75,18159.73,2444.45,11,2025-06-25 00:43:37,41002.01,19042.11,DK,DKK
CUST00060,34519.23,2655.33,3884.08,838.51,13,2025-06-17 03:53:44,41836.69,3999.11,DK,DKK
CUST00061,12263.4,1021.95,2416.26,116.86,12,2025-05-26 22:12:37,7304.6,2500.46,FI,EUR
CUST00062,15383.73,1098.84,2105.2,84.57,14,2025-06-25 07:24:20,72067.77,2724.7,DK,DKK
CUST00063,17063.96,1137.6,1991.01,90.75,15,2025-06-28 07:17:26,86764.66,2161.03,SE,SEK
CUST00064,153452.42,8525.13,17576.65,209.88,18,2025-06-17 18:35:26,91144.49,19805.61,DK,DKK
CUST00065,23076.01,1923.0,3118.0,321.32,12,2025-06-24 22:46:08,91639.82,3562.61,SE,SEK
CUST00066,29846.83,5969.37,12562.16,1404.85,5,2025-06-14 20:17:28,900.02,14208.26,NO,NOK
CUST00067,82182.1,8218.21,18177.01,1040.29,10,2025-06-30 04:02:30,138624.7,18214.02,NO,NOK
CUST00068,85379.98,7115.0,11826.05,1232.35,12,2025-06-28 21:50:32,118997.97,14144.81,NO,NOK
CUST00069,12628.07,902.0,2276.64,74.84,14,2025-07-01 10:31:27,65944.95,2280.87,DK,DKK
CUST00070,57829.18,9638.2,17636.4,2696.7,6,2025-06-15 11:33:32,86648.92,19940.44,FI,EUR
CUST00071,53568.16,4869.83,7953.59,1235.79,11,2025-06-29 17:15:38,52520.18,8527.08,DK,DKK
CUST00072,9947.93,1105.33,1773.45,307.4,9,2025-06-29 01:48:43,122128.12,2760.47,DK,DKK
CUST00073,55798.16,6199.8,10061.68,127.4,9,2025-06-20 02:22:09,69565.46,12695.47,NL,EUR
CUST00074,83564.19,8356.42,15723.27,883.34,10,2025-06-28 05:20:28,20086.48,16086.62,NL,EUR
CUST00075,20171.17,4034.23,9248.4,1344.18,5,2025-06-27 16:30:26,83061.59,10218.32,SE,SEK
CUST00076,51171.75,4651.98,9980.22,325.49,11,2025-06-26 10:46:37,62615.81,10410.7,FI,EUR
CUST00077,98960.7,8996.43,18254.57,1104.71,11,2025-06-30 06:38:27,51311.35,19978.6,DK,DKK
CUST00078,56703.76,7087.97,11294.2,1913.37,8,2025-06-19 11:58:23,72909.04,11650.05,NL,EUR
CUST00079,15193.27,1688.14,2660.43,326.61,9,2025-06-22 23:28:57,111833.42,2961.8,FI,EUR
CUST00080,17200.74,1228.62,1826.16,106.03,14,2025-06-30 15:07:03,15406.9,1959.15,DK,DKK
CUST00081,83863.36,9318.15,17368.54,1471.5,9,2025-06-27 13:53:53,97650.58,17511.47,DK,DKK
